
0/354688 [00:00<? ?it/s] wheel.py:111: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  label = torch.tensor(batch.label, dtype=torch.long, device=self.device)

0/354688 [00:04<? ?it/s]  0 loss: 0.26829, acc: 0.35938: 
0/354688 [00:10<? ?it/s]  0 loss: 0.26829, acc: 0.35938: 
320/354688 [00:10<3:18:20 29.78it/s]  0 loss: 0.26829, acc: 0.35938: 
5376/354688 [01:29<1:29:14 65.23it/s]  0 loss: 0.18379, acc: 0.73515: 
5440/354688 [01:30<1:30:59 63.98it/s]  0 loss: 0.18379, acc: 0.73515: 
5504/354688 [01:32<1:32:35 62.86it/s]  0 loss: 0.18379, acc: 0.73515: 
5568/354688 [01:32<1:26:48 67.02it/s]  0 loss: 0.18379, acc: 0.73515: 
5632/354688 [01:33<1:27:55 66.16it/s]  0 loss: 0.18379, acc: 0.73515: 
5696/354688 [01:34<1:30:25 64.32it/s]  0 loss: 0.18379, acc: 0.73515: 
5760/354688 [01:36<1:33:32 62.17it/s]  0 loss: 0.18379, acc: 0.73515: 
5760/354688 [01:37<1:33:32 62.17it/s]  0 loss: 0.17919, acc: 0.74296: 
5824/354688 [01:37<1:36:24 60.31it/s]  0 loss: 0.17919, acc: 0.74296: 
5888/354688 [01:38<1:35:21 60.96it/s]  0 loss: 0.17919, acc: 0.74296: 
5952/354688 [01:38<1:27:47 66.20it/s]  0 loss: 0.17919, acc: 0.74296: 
6016/354688 [01:39<1:28:09 65.92it/s]  0 loss: 0.17919, acc: 0.74296: 
6080/354688 [01:40<1:27:57 66.06it/s]  0 loss: 0.17919, acc: 0.74296: 
6144/354688 [01:42<1:34:50 61.25it/s]  0 loss: 0.17919, acc: 0.74296: 
6208/354688 [01:43<1:55:19 50.36it/s]  0 loss: 0.17919, acc: 0.74296: 
6272/354688 [01:44<1:49:21 53.10it/s]  0 loss: 0.17919, acc: 0.74296: 
6336/354688 [01:45<1:38:33 58.91it/s]  0 loss: 0.17919, acc: 0.74296: 
6400/354688 [01:46<1:33:06 62.35it/s]  0 loss: 0.17919, acc: 0.74296: 
6400/354688 [01:47<1:33:06 62.35it/s]  0 loss: 0.17621, acc: 0.74675: 
6464/354688 [01:47<1:31:35 63.36it/s]  0 loss: 0.17621, acc: 0.74675: 
6528/354688 [01:48<1:30:29 64.13it/s]  0 loss: 0.17621, acc: 0.74675: 
6592/354688 [01:49<1:29:18 64.97it/s]  0 loss: 0.17621, acc: 0.74675: 
6656/354688 [01:50<1:22:11 70.57it/s]  0 loss: 0.17621, acc: 0.74675: 
6720/354688 [01:51<1:23:30 69.45it/s]  0 loss: 0.17621, acc: 0.74675: 
6784/354688 [01:52<1:19:54 72.56it/s]  0 loss: 0.17621, acc: 0.74675: 
6848/354688 [01:53<1:22:53 69.94it/s]  0 loss: 0.17621, acc: 0.74675: 
6912/354688 [01:53<1:23:49 69.14it/s]  0 loss: 0.17621, acc: 0.74675: 
6976/354688 [01:54<1:20:51 71.67it/s]  0 loss: 0.17621, acc: 0.74675: 
7040/354688 [01:55<1:21:53 70.75it/s]  0 loss: 0.17621, acc: 0.74675: 
7040/354688 [01:56<1:21:53 70.75it/s]  0 loss: 0.1712, acc: 0.75394:  
7104/354688 [01:56<1:19:36 72.77it/s]  0 loss: 0.1712, acc: 0.75394: 
7168/354688 [01:57<1:24:41 68.39it/s]  0 loss: 0.1712, acc: 0.75394: 
7232/354688 [01:58<1:20:58 71.52it/s]  0 loss: 0.1712, acc: 0.75394: 
7296/354688 [01:59<1:19:49 72.53it/s]  0 loss: 0.1712, acc: 0.75394: 
7360/354688 [02:00<1:22:23 70.26it/s]  0 loss: 0.1712, acc: 0.75394: 
7424/354688 [02:01<1:25:38 67.58it/s]  0 loss: 0.1712, acc: 0.75394: 
7488/354688 [02:02<1:32:01 62.88it/s]  0 loss: 0.1712, acc: 0.75394: 
7552/354688 [02:03<1:35:10 60.79it/s]  0 loss: 0.1712, acc: 0.75394: 
7616/354688 [02:04<1:43:25 55.93it/s]  0 loss: 0.1712, acc: 0.75394: 
7680/354688 [02:06<1:47:34 53.76it/s]  0 loss: 0.1712, acc: 0.75394: 
7680/354688 [02:07<1:47:34 53.76it/s]  0 loss: 0.16957, acc: 0.75646: 
7744/354688 [02:07<1:40:32 57.51it/s]  0 loss: 0.16957, acc: 0.75646: 
