
0/354688 [00:00<? ?it/s] wheel.py:111: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  label = torch.tensor(batch.label, dtype=torch.long, device=self.device)

0/354688 [00:05<? ?it/s]  0 loss: 0.25067, acc: 0.4375: 
0/354688 [00:10<? ?it/s]  0 loss: 0.25067, acc: 0.4375: 
256/354688 [00:10<4:11:44 23.46it/s]  0 loss: 0.25067, acc: 0.4375: 
7424/354688 [02:04<1:24:49 68.23it/s]  0 loss: 0.19943, acc: 0.69552: 
7488/354688 [02:05<1:25:15 67.87it/s]  0 loss: 0.19943, acc: 0.69552: 
7552/354688 [02:06<1:26:11 67.13it/s]  0 loss: 0.19943, acc: 0.69552: 
7616/354688 [02:07<1:25:41 67.51it/s]  0 loss: 0.19943, acc: 0.69552: 
7680/354688 [02:08<1:26:54 66.54it/s]  0 loss: 0.19943, acc: 0.69552: 
7680/354688 [02:09<1:26:54 66.54it/s]  0 loss: 0.19679, acc: 0.70067: 
7744/354688 [02:09<1:28:05 65.65it/s]  0 loss: 0.19679, acc: 0.70067: 
7808/354688 [02:10<1:29:31 64.58it/s]  0 loss: 0.19679, acc: 0.70067: 
7872/354688 [02:11<1:29:02 64.92it/s]  0 loss: 0.19679, acc: 0.70067: 
7936/354688 [02:12<1:29:01 64.92it/s]  0 loss: 0.19679, acc: 0.70067: 
8000/354688 [02:13<1:20:52 71.44it/s]  0 loss: 0.19679, acc: 0.70067: 
8064/354688 [02:14<1:22:33 69.97it/s]  0 loss: 0.19679, acc: 0.70067: 
8128/354688 [02:15<1:24:41 68.21it/s]  0 loss: 0.19679, acc: 0.70067: 
8192/354688 [02:16<1:28:41 65.11it/s]  0 loss: 0.19679, acc: 0.70067: 
8256/354688 [02:17<1:25:41 67.38it/s]  0 loss: 0.19679, acc: 0.70067: 
8320/354688 [02:17<1:22:44 69.77it/s]  0 loss: 0.19679, acc: 0.70067: 
8320/354688 [02:18<1:22:44 69.77it/s]  0 loss: 0.19452, acc: 0.70563: 
8384/354688 [02:18<1:24:11 68.55it/s]  0 loss: 0.19452, acc: 0.70563: 
8448/354688 [02:19<1:25:19 67.63it/s]  0 loss: 0.19452, acc: 0.70563: 
8512/354688 [02:20<1:26:40 66.56it/s]  0 loss: 0.19452, acc: 0.70563: 
8576/354688 [02:21<1:27:59 65.56it/s]  0 loss: 0.19452, acc: 0.70563: 
8640/354688 [02:22<1:29:22 64.53it/s]  0 loss: 0.19452, acc: 0.70563: 
8704/354688 [02:23<1:20:43 71.43it/s]  0 loss: 0.19452, acc: 0.70563: 
8768/354688 [02:24<1:22:40 69.73it/s]  0 loss: 0.19452, acc: 0.70563: 
8832/354688 [02:25<1:19:27 72.54it/s]  0 loss: 0.19452, acc: 0.70563: 
8896/354688 [02:26<1:17:16 74.59it/s]  0 loss: 0.19452, acc: 0.70563: 
8960/354688 [02:27<1:21:02 71.10it/s]  0 loss: 0.19452, acc: 0.70563: 
8960/354688 [02:28<1:21:02 71.10it/s]  0 loss: 0.19241, acc: 0.70988: 
9024/354688 [02:28<1:44:35 55.08it/s]  0 loss: 0.19241, acc: 0.70988: 
9088/354688 [02:29<1:38:58 58.19it/s]  0 loss: 0.19241, acc: 0.70988: 
9152/354688 [02:30<1:32:48 62.06it/s]  0 loss: 0.19241, acc: 0.70988: 
9216/354688 [02:31<1:30:56 63.31it/s]  0 loss: 0.19241, acc: 0.70988: 
9280/354688 [02:32<1:26:44 66.37it/s]  0 loss: 0.19241, acc: 0.70988: 
9344/354688 [02:33<1:21:08 70.93it/s]  0 loss: 0.19241, acc: 0.70988: 
9408/354688 [02:34<1:22:47 69.50it/s]  0 loss: 0.19241, acc: 0.70988: 
9472/354688 [02:35<1:24:17 68.25it/s]  0 loss: 0.19241, acc: 0.70988: 
9536/354688 [02:36<1:25:01 67.66it/s]  0 loss: 0.19241, acc: 0.70988: 
9600/354688 [02:37<1:25:53 66.97it/s]  0 loss: 0.19241, acc: 0.70988: 
9600/354688 [02:38<1:25:53 66.97it/s]  0 loss: 0.19001, acc: 0.71523: 
9664/354688 [02:38<1:24:52 67.75it/s]  0 loss: 0.19001, acc: 0.71523: 
9728/354688 [02:39<1:22:18 69.86it/s]  0 loss: 0.19001, acc: 0.71523: 
9792/354688 [02:39<1:23:57 68.47it/s]  0 loss: 0.19001, acc: 0.71523: 
9856/354688 [02:41<1:26:59 66.06it/s]  0 loss: 0.19001, acc: 0.71523: 
9920/354688 [02:42<1:32:38 62.02it/s]  0 loss: 0.19001, acc: 0.71523: 
9984/354688 [02:43<1:32:05 62.38it/s]  0 loss: 0.19001, acc: 0.71523: 
10048/354688 [02:44<1:32:31 62.08it/s]  0 loss: 0.19001, acc: 0.71523: 
10112/354688 [02:45<1:25:09 67.43it/s]  0 loss: 0.19001, acc: 0.71523: 
10176/354688 [02:46<1:27:08 65.90it/s]  0 loss: 0.19001, acc: 0.71523: 
10240/354688 [02:47<1:36:07 59.73it/s]  0 loss: 0.19001, acc: 0.71523: 
10240/354688 [02:48<1:36:07 59.73it/s]  0 loss: 0.18727, acc: 0.72079: 
10304/354688 [02:48<1:35:34 60.05it/s]  0 loss: 0.18727, acc: 0.72079: 
10368/354688 [02:49<1:37:02 59.13it/s]  0 loss: 0.18727, acc: 0.72079: 
10432/354688 [02:50<1:35:20 60.18it/s]  0 loss: 0.18727, acc: 0.72079: 
10496/354688 [02:51<1:32:35 61.96it/s]  0 loss: 0.18727, acc: 0.72079: 
10560/354688 [02:52<1:30:49 63.15it/s]  0 loss: 0.18727, acc: 0.72079: 
10624/354688 [02:53<1:29:30 64.06it/s]  0 loss: 0.18727, acc: 0.72079: 
10688/354688 [02:54<1:29:36 63.98it/s]  0 loss: 0.18727, acc: 0.72079: 
10752/354688 [02:55<1:21:46 70.10it/s]  0 loss: 0.18727, acc: 0.72079: 
10816/354688 [02:56<1:22:59 69.06it/s]  0 loss: 0.18727, acc: 0.72079: 
10880/354688 [02:56<1:17:58 73.49it/s]  0 loss: 0.18727, acc: 0.72079: 
10880/354688 [02:57<1:17:58 73.49it/s]  0 loss: 0.18546, acc: 0.72423: 
10944/354688 [02:57<1:21:16 70.48it/s]  0 loss: 0.18546, acc: 0.72423: 
11008/354688 [02:58<1:16:03 75.32it/s]  0 loss: 0.18546, acc: 0.72423: 
11072/354688 [02:59<1:22:37 69.32it/s]  0 loss: 0.18546, acc: 0.72423: 
11136/354688 [03:00<1:25:54 66.65it/s]  0 loss: 0.18546, acc: 0.72423: 
11200/354688 [03:01<1:28:07 64.96it/s]  0 loss: 0.18546, acc: 0.72423: 
11264/354688 [03:02<1:17:41 73.68it/s]  0 loss: 0.18546, acc: 0.72423: 
11328/354688 [03:03<1:20:52 70.76it/s]  0 loss: 0.18546, acc: 0.72423: 
11392/354688 [03:04<1:23:39 68.40it/s]  0 loss: 0.18546, acc: 0.72423: 
11456/354688 [03:05<1:25:01 67.28it/s]  0 loss: 0.18546, acc: 0.72423: 
11520/354688 [03:06<1:23:59 68.09it/s]  0 loss: 0.18546, acc: 0.72423: 
11520/354688 [03:06<1:23:59 68.09it/s]  0 loss: 0.18401, acc: 0.72626: 
11584/354688 [03:06<1:16:43 74.53it/s]  0 loss: 0.18401, acc: 0.72626: 
11648/354688 [03:07<1:18:59 72.37it/s]  0 loss: 0.18401, acc: 0.72626: 
11712/354688 [03:08<1:21:42 69.96it/s]  0 loss: 0.18401, acc: 0.72626: 
11776/354688 [03:09<1:23:52 68.15it/s]  0 loss: 0.18401, acc: 0.72626: 
11840/354688 [03:10<1:24:44 67.43it/s]  0 loss: 0.18401, acc: 0.72626: 
11904/354688 [03:11<1:25:04 67.15it/s]  0 loss: 0.18401, acc: 0.72626: 
11968/354688 [03:12<1:26:14 66.23it/s]  0 loss: 0.18401, acc: 0.72626: 
12032/354688 [03:13<1:21:50 69.78it/s]  0 loss: 0.18401, acc: 0.72626: 
12096/354688 [03:14<1:24:09 67.84it/s]  0 loss: 0.18401, acc: 0.72626: 
12160/354688 [03:15<1:24:44 67.37it/s]  0 loss: 0.18401, acc: 0.72626: 
